"Keyword Phrase","Keyword Sales","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"tote bag school",46,61,611,-21,0.51,0.4,0.65,0,">10,000",10,0,0,1,0,,
"messenger bag for men crossbody",39,60,543,-2,0.49,0.36,0.63,0,">9,000",9,1,0,0,2,,
"mens shoulder bag",153,58,"2,315",-11,0.4,0.29,0.53,0,">40,000",27,1,0,0,0,,
"large tote purse",59,55,"1,108",1,0.46,0.31,0.64,0,">20,000",26,0,0,1,0,,
"travel purse crossbody",29,55,"1,106",12,0.49,0.37,0.61,0,">20,000",26,0,0,1,0,,
"small shoulder bag",132,55,"2,204",-14,0.41,0.29,0.5,0,">40,000",27,0,0,1,2,,
"canvas purses for women",138,54,"2,168",-9,0.32,0.23,0.46,0,">40,000",27,1,0,0,0,,
"crossbody satchel bags for women",36,51,510,-4,0.45,0.31,0.56,0,">10,000",9,1,1,0,0,,
"shoulder bag for school",96,50,"1,508",49,0.49,0.33,0.61,0,">30,000",26,1,0,0,0,,
"small black shoulder bag",52,40,805,-34,0.45,0.34,0.64,0,">20,000",11,0,0,1,0,,
"mens side bag",60,40,805,-2,0.52,0.44,0.72,0,">20,000",11,0,0,1,0,,
"leather work bag",42,40,805,0,0.61,0.39,0.78,0,">20,000",11,1,0,1,1,,
"large messenger bag",44,40,803,-11,0.48,0.31,0.57,0,">20,000",11,1,0,1,0,,
"crossbody travel bag",91,37,"1,108",14,0.6,0.44,0.7,0,">30,000",26,0,0,1,0,,
"woman purses & handbags",37,37,735,67,0.43,0.34,0.52,0,">20,000",11,1,0,0,0,,
"men cross body bag",98,37,735,-24,0.51,0.39,0.6,0,">20,000",11,0,0,1,0,,
"large shoulder bag",49,37,735,1,0.43,0.34,0.56,0,">20,000",11,0,0,1,0,,
"mens leather bag",36,37,735,-20,0.44,0.34,0.6,0,">20,000",11,1,0,0,0,,
"women work bag",129,35,"1,744",-6,0.5,0.34,0.55,0,">50,000",26,0,0,1,0,,
"phone bag wallet crossbody",86,34,678,-12,0.46,0.37,0.56,0,">20,000",10,0,0,1,0,,
"canvas shoulder bag",81,34,678,-2,0.34,0.26,0.47,0,">20,000",10,1,0,1,5,,
"leather bags for men",34,34,678,-21,0.46,0.38,0.65,0,">20,000",10,1,0,0,0,,
"ladies purses and handbags",60,33,"1,300",-25,0.46,0.32,0.56,0,">40,000",26,1,0,0,0,,
"women's purses and handbags",53,31,"1,226",-51,0.44,0.34,0.5,0,">40,000",26,1,0,0,0,,
"bag for books",44,31,611,-11,0.51,0.34,0.67,0,">20,000",10,1,0,0,0,,
"canvas bag for women",113,30,"1,506",-9,0.38,0.24,0.54,0,">50,000",26,1,0,0,0,,
"women bags handbags leather",20,30,600,11,0.63,0.45,0.72,0,">20,000",10,0,0,1,0,,
"small travel purse",136,29,"1,742",61,0.45,0.32,0.63,0,">60,000",26,0,0,1,0,,
"small travel pouch",176,29,"1,742",5,0.54,0.33,0.61,0,">60,000",26,0,0,1,0,,
"large crossbody bag",113,29,"1,737",-15,0.49,0.34,0.64,0,">60,000",27,0,0,1,2,,
"mini travel bag",122,29,865,6,0.58,0.39,0.72,0,">30,000",11,0,0,1,1,,
"men shoulder bag",73,28,"1,106",3,0.41,0.29,0.54,0,">40,000",26,1,0,1,0,,
"shoulder bag crossbody",81,26,"1,300",-16,0.57,0.41,0.75,0,">50,000",26,0,0,1,1,,
"over shoulder bag",38,25,508,-26,0.58,0.43,0.76,0,">20,000",9,0,0,1,0,,
"small shoulder purse",50,22,879,-38,0.47,0.32,0.61,0,">40,000",12,0,0,1,0,,
"man bag for men",106,22,"1,300",-18,0.44,0.32,0.58,0,">60,000",26,1,0,0,0,,
"men's shoulder bag",76,22,"1,300",-16,0.46,0.35,0.66,0,">60,000",26,1,0,0,0,,
"small canvas purse",43,20,612,-4,0.48,0.34,0.59,0,">30,000",10,1,0,1,1,,
"work bag women",91,20,803,2,0.65,0.48,0.84,0,">40,000",11,0,0,1,0,,
"large work bag",38,18,735,-3,0.46,0.39,0.64,0,">40,000",11,0,0,1,1,,
"small wallet purse",38,18,543,-5,0.49,0.39,0.63,0,">30,000",9,0,0,1,0,,
"shoulder bag men",81,17,"1,223",-3,0.47,0.34,0.68,0,">70,000",26,1,0,1,0,,
"ladies crossbody bags",40,15,612,-14,0.47,0.35,0.57,0,">40,000",10,0,0,1,0,,
"shoulder tote bag",60,14,865,-11,0.45,0.29,0.58,0,">60,000",11,0,0,1,2,,
"small travel wallet",84,14,547,4,0.59,0.51,0.8,0,">40,000",9,0,0,1,0,,
"small cross body bag",46,13,805,4,0.51,0.4,0.63,0,">60,000",11,0,0,1,0,,
"tote bag women",55,12,735,-29,0.51,0.38,0.59,0,">60,000",11,0,0,1,2,,
"small shoulder bag for men",59,11,803,12,0.46,0.34,0.61,0,">70,000",11,1,0,0,0,,
"small phone purse",42,11,678,3,0.43,0.34,0.55,0,">60,000",10,0,0,1,0,,
"small canvas bag",74,11,"1,108",16,0.51,0.35,0.7,0,">100,000",26,0,0,1,0,,
"black travel bag",50,10,678,-1,0.67,0.54,0.78,0,">70,000",10,0,0,1,0,,
"small pouch bag",96,9,864,2,0.53,0.32,0.64,0,">100,000",11,0,0,1,0,,
"small black bag",52,8,678,-1,0.65,0.48,0.84,0,">80,000",10,0,0,1,0,,
"mens bags shoulder",65,8,545,-15,0.43,0.35,0.66,0,">70,000",9,1,0,0,0,,
"top handle bag",23,6,623,-8,0.41,0.27,0.51,0,">100,000",10,0,0,1,6,,
